[2021-02-17 17:48:58] main.ERROR: Error: Application is not installed yet.  [] []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_17","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_29","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_30","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_31","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_32","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_33","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_34","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_35","FPC"],"mode":"matchingTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-17 17:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8888/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_32","FPC"],"mode":"matchingTag"}} []
